Municipality,Demand,Capacity,Vulnerable Populations,Unmet Need and Outcomes,Demand Z,Capacity Z,Vulnerable Populations Z,Unmet Need and Outcomes Z,Need Index,Rank,Cluster_Label
Abbotsford,1.645394022771898,0.2980307147751612,-0.28448952637648267,0.3171423397383685,2.7273276759885414,1.1632433904568624,-1.2454465657018585,0.7457794704018123,0.8477259927863394,2,High-Pressure System (High Demand + Strained Capacity)
Burnaby,0.14917689871349255,-0.5294286120127002,0.124152881550639,-0.17447108572629783,0.24726860487437782,-2.066412296152541,0.5435201144966113,-0.47525840019754656,-0.4377204942447746,14,"Vulnerable Population, Adequate Capacity"
Chilliwack,0.632801198025952,-0.2963446753972493,-0.35949988826449486,0.13407666178595243,1.0489014770258107,-1.1566626118150172,-1.5738291209241129,0.29109269008134303,-0.34762439140799406,11,"Baseline, Moderate Need"
Coquitlam,-0.04821455855999687,0.03505787912008115,-0.09113764543084944,0.1855794062208494,-0.07991818259113695,0.1368343736001702,-0.39898504860173434,0.41901190086239487,0.01923576081742344,6,"Baseline, Moderate Need"
Delta,-0.9578947049595457,-0.04920496399426304,0.11434436850000014,0.39607823739011705,-1.5877611704933359,-0.19205184669363665,0.5005801193089015,0.9418353862699345,-0.08434937790203417,10,"Vulnerable Population, Adequate Capacity"
Hope,-0.3716432552869137,-0.15384115525363795,0.36754917908727347,-0.02181014720898572,-0.6160183650302404,-0.6004572621451056,1.6090675416113402,-0.09608896007354843,0.07412573859061143,5,"Vulnerable Population, Adequate Capacity"
Kent,0.06510230739249963,0.11336620062700761,-0.08416687992386873,-0.03296366288669808,0.10791052007297347,0.4424795064497291,-0.3684682275729944,-0.12379134639454464,0.014532613138790895,7,"Baseline, Moderate Need"
Langley,-0.3506774189555786,0.22064297189048782,-0.058788313251866814,-0.05145681084604303,-0.5812663816844109,0.8611913671246889,-0.25736519644680794,-0.16972344026202668,-0.03679091281713916,9,"Baseline, Moderate Need"
Maple Ridge,-0.4468970948159225,-0.17450123158910844,0.0817692928725138,0.4363512712930354,-0.7407555868940389,-0.6810955858215793,0.3579720008854427,1.0418629628417415,-0.005504052247108482,8,"Vulnerable Population, Adequate Capacity"
Mission,-0.19220839691144948,0.41447704972324045,-0.1137669997481409,0.31008694765003364,-0.3185955905995527,1.61774496615341,-0.4980524975074771,0.728255740402695,0.3823381546122688,3,"Baseline, Moderate Need"
New Westminster,-0.29729507441347014,-0.34621986088110734,-0.07840885876724722,0.028231135277657023,-0.4927823203204469,-1.351330399347174,-0.3432605942161775,0.028200365328413853,-0.5397932371388461,15,"Baseline, Moderate Need"
Pitt Meadows,-0.04821455855999687,0.011819649730516277,-0.10776885252071099,-0.39702704466080385,-0.07991818259113695,0.0461332632675494,-0.4717936332177222,-1.028028605628234,-0.3834017895423859,12,"Baseline, Moderate Need"
Port Coquitlam,-0.04821455855999687,0.09982552435407094,-0.18105751092965805,-0.41227889772087845,-0.07991818259113695,0.38962890617286666,-0.7926388646148422,-1.0659101792764019,-0.3872095800773786,13,"Baseline, Moderate Need"
Port Moody,0.016747505350491076,-0.06119608942755045,-0.08872512183639629,-0.9295542815062644,0.02775987648795074,-0.2388543966084459,-0.3884234322791351,-2.35068557476887,-0.7375508817921251,16,"Baseline, Moderate Need"
Surrey,0.7515494690935554,0.2974100888158143,0.27225022624680373,0.7391982962020884,1.2457330211278532,1.1608210258837988,1.1918649997747848,1.7940549642354846,1.3481185027554803,1,High-Pressure System (High Demand + Strained Capacity)
White Rock,-0.4995117803250167,0.12010650951923488,0.48774364879248955,-0.25714838683618524,-0.8279672127820703,0.4687875994744231,2.135258405005782,-0.6806069738226471,0.2738679544688719,4,"Vulnerable Population, Adequate Capacity"
