Municipality,Patient Demand,Hospital Strain,Vulnerable Populations,Outcomes,Patient Demand Z,Hospital Strain Z,Vulnerable Populations Z,Outcomes Z,Need Index,Rank,Cluster_Label,lat_x,lon_x,lat_y,lon_y,lat_original,lon_original,lat_coords,lon_coords
Abbotsford,1.2471332197743736,0.2609353422300037,-0.06081416898506753,0.3171423397383685,2.508928353941977,1.0414043896238858,-0.1648844822821247,0.7457794704018123,1.0328069329213876,2,High-Pressure System (High Demand + Strained Capacity),49.0517,-122.3289,49.0517,-122.3289,49.0517,-122.3289,49.0517,-122.3289
Burnaby,-0.19539871390927044,-0.36150791640068697,-0.11369783132240437,-0.17447108572629783,-0.39309463165407277,-1.442793942001203,-0.30826710891664316,-0.47525840019754656,-0.6548535206923664,15,"Baseline, Moderate Need",49.2488,-122.9805,49.2488,-122.9805,49.2488,-122.9805,49.2488,-122.9805
Chilliwack,0.8902517580064351,-0.3423613801234084,-0.07708595018468214,0.13407666178595243,1.7909697555912483,-1.3663792763800344,-0.20900190201641786,0.29109269008134303,0.12667031681903476,6,High-Pressure System (High Demand + Strained Capacity),49.1579,-121.9514,49.1579,-121.9514,49.1579,-121.9514,49.1579,-121.9514
Coquitlam,-0.04821455855999687,0.026072717653786978,-0.33975855990089854,0.1855794062208494,-0.0969959512952889,0.10405735912210937,-0.9211819413981515,0.41901190086239487,-0.12377715817723402,9,"Baseline, Moderate Need",49.2838,-122.7932,49.2838,-122.7932,49.2838,-122.7932,49.2838,-122.7932
Delta,-0.6467055695128622,-0.14302509637107752,0.01033766274255657,0.39607823739011705,-1.3010141292656427,-0.5708194294965561,0.02802833941103662,0.9418353862699345,-0.22549245827030695,11,"Vulnerable Population, Adequate Capacity",49.0847,-123.0587,49.0847,-123.0587,49.0847,-123.0587,49.0847,-123.0587
Hope,-0.3716432552869137,-0.06830077999913202,0.878878789461687,-0.02181014720898572,-0.7476557323277182,-0.2725914071200607,2.382889984482278,-0.09608896007354843,0.31663847124023764,5,"Vulnerable Population, Adequate Capacity",49.38,-121.44139,49.38,-121.44139,49.38,-121.44139,49.38,-121.44139
Kent,0.06510230739249963,0.0840717289814152,0.37839057516373287,-0.03296366288669808,0.13096998968052428,0.33553395586919554,1.025924305594422,-0.12379134639454464,0.3421592261873993,4,"Vulnerable Population, Adequate Capacity",49.2833,-121.7555,49.2833,-121.7555,49.2833,-121.7555,49.2833,-121.7555
Langley,-0.35382409049109165,0.17362786409757522,-0.015126145219286402,-0.05145681084604303,-0.7118079118295272,0.6929564170454603,-0.04101127525098139,-0.16972344026202668,-0.05739655257426874,8,"Vulnerable Population, Adequate Capacity",49.1044,-122.6604,49.1044,-122.6604,49.1044,-122.6604,49.1044,-122.6604
Maple Ridge,-0.1852215853116782,-0.2541763648344119,-0.08591716263403741,0.4363512712930354,-0.37262072710614297,-1.0144290145406072,-0.23294582687697024,1.0418629628417415,-0.14453315142049472,10,"Vulnerable Population, Adequate Capacity",49.2193,-122.6014,49.2193,-122.6014,49.2193,-122.6014,49.2193,-122.6014
Mission,-0.19220839691144948,0.40988269179494424,0.11563586873385043,0.31008694765003364,-0.38667649071533317,1.6358597912346247,0.3135216787079046,0.728255740402695,0.5727401799074728,3,"Vulnerable Population, Adequate Capacity",49.133694,-122.3112,49.133694,-122.3112,49.133694,-122.3112,49.133694,-122.3112
New Westminster,0.04116854277367202,-0.4322987161176661,-0.22494564166617292,0.028231135277657023,0.08282108327931915,-1.725323126971726,-0.6098915151969659,0.028200365328413853,-0.5560482983902397,14,"Baseline, Moderate Need",49.2057,-122.911,49.2057,-122.911,49.2057,-122.911,49.2057,-122.911
Pitt Meadows,-0.04821455855999687,0.0028344882642221125,-0.36826359175968504,-0.39702704466080385,-0.0969959512952889,0.011312566919725408,-0.9984671776993418,-1.028028605628234,-0.5280447919257848,13,"Baseline, Moderate Need",49.2216,-122.69,49.2216,-122.69,49.2216,-122.69,49.2216,-122.69
Port Coquitlam,-0.04821455855999687,0.09084036288777676,-0.46332799453133366,-0.41227889772087845,-0.0969959512952889,0.3625478705102743,-1.2562137702460787,-1.0659101792764019,-0.5141430075768738,12,"Baseline, Moderate Need",49.2621,-122.7811,49.2621,-122.7811,49.2621,-122.7811,49.2621,-122.7811
Port Moody,-0.3417388263334617,0.09715425960375093,-0.4601210532390735,-0.9295542815062644,-0.6874953031769873,0.38774690908992165,-1.2475188416873522,-2.35068557476887,-0.9744882026358219,16,"Baseline, Moderate Need",49.2838,-122.836,49.2838,-122.836,49.2838,-122.836,49.2838,-122.836
Surrey,0.5521903753581653,0.3316560060257636,0.33469796501088,0.7391982962020884,1.1108725736297893,1.3236536590582308,0.9074612315306002,1.7940549642354846,1.2840106071135262,1,High-Pressure System (High Demand + Strained Capacity),49.18952,-122.84784,49.18952,-122.84784,49.18952,-122.84784,49.18952,-122.84784
White Rock,-0.3644620898684279,0.12459479230714314,0.4911172383299379,-0.25714838683618524,-0.7332089761615675,0.4972632780367593,1.3315583018447856,-0.6806069738226471,0.10375140747433256,7,"Vulnerable Population, Adequate Capacity",49.0253,-122.8028,49.0253,-122.8028,49.0253,-122.8028,49.0253,-122.8028
