Municipality,Demand,Capacity,Vulnerable Populations,Unmet Need and Outcomes,Demand Z,Capacity Z,Vulnerable Populations Z,Unmet Need and Outcomes Z,Need Index,Rank,Cluster_Label,lat,lon
Abbotsford,1.645394022771898,0.2980307147751612,-0.2565560227272443,0.3171423397383685,2.7273276759885414,1.1632433904568624,-0.8341467428140976,0.7457794704018123,0.9505509485082797,2,High-Pressure System (High Demand + Strained Capacity),49.0517,-122.3289
Burnaby,0.14917689871349255,-0.5294286120127002,0.24514584898875247,-0.17447108572629783,0.24726860487437782,-2.066412296152541,0.7970485715931279,-0.47525840019754656,-0.37433837997064545,12,"Baseline, Moderate Need",49.2488,-122.9805
Chilliwack,0.632801198025952,-0.2963446753972493,-0.250941390572448,0.13407666178595243,1.0489014770258107,-1.1566626118150172,-0.8158917547836596,0.29109269008134303,-0.15814004987288077,10,"Baseline, Moderate Need",49.1579,-121.9514
Coquitlam,-0.04821455855999687,0.03505787912008115,-0.05948832500125621,0.1855794062208494,-0.07991818259113695,0.1368343736001702,-0.19341581619395354,0.41901190086239487,0.07062806891936865,5,"Vulnerable Population, Adequate Capacity",49.2838,-122.7932
Delta,-0.9578947049595457,-0.04920496399426304,0.05670185359118357,0.39607823739011705,-1.5877611704933359,-0.19205184669363665,0.18435609494496868,0.9418353862699345,-0.16340538399301735,11,"Baseline, Moderate Need",49.0847,-123.0587
Hope,-0.3716432552869137,-0.15384115525363795,0.27365024347711175,-0.02181014720898572,-0.6160183650302404,-0.6004572621451056,0.8897255922516185,-0.09608896007354843,-0.105709748749319,9,"Baseline, Moderate Need",49.38,-121.44139
Kent,0.06510230739249963,0.11336620062700761,-0.18116247360049498,-0.03296366288669808,0.10791052007297347,0.4424795064497291,-0.5890178903913547,-0.12379134639454464,-0.04060480256579917,8,"Vulnerable Population, Adequate Capacity",49.2833,-121.7555
Langley,-0.3506774189555786,0.22064297189048782,0.03748136167685159,-0.05145681084604303,-0.5812663816844109,0.8611913671246889,0.12186404913293268,-0.16972344026202668,0.058016398577796,6,"Vulnerable Population, Adequate Capacity",49.1044,-122.6604
Maple Ridge,-0.4468970948159225,-0.17450123158910844,0.07342452594072331,0.4363512712930354,-0.7407555868940389,-0.6810955858215793,0.2387269201675981,1.0418629628417415,-0.035315322426569595,7,"Baseline, Moderate Need",49.2193,-122.6014
Mission,-0.19220839691144948,0.41447704972324045,-0.24180299937628885,0.31008694765003364,-0.3185955905995527,1.61774496615341,-0.7861798845659751,0.728255740402695,0.3103063078476443,3,"Vulnerable Population, Adequate Capacity",49.133694,-122.3112
New Westminster,-0.29729507441347014,-0.34621986088110734,-0.05296341495449301,0.028231135277657023,-0.4927823203204469,-1.351330399347174,-0.172201219846516,0.028200365328413853,-0.4970283935464308,15,"Baseline, Moderate Need",49.2057,-122.911
Pitt Meadows,-0.04821455855999687,0.011819649730516277,-0.2635757441925567,-0.39702704466080385,-0.07991818259113695,0.0461332632675494,-0.8569701313804916,-1.028028605628234,-0.47969591408307827,14,"Vulnerable Population, Adequate Capacity",49.2216,-122.69
Port Coquitlam,-0.04821455855999687,0.09982552435407094,-0.2698250690508884,-0.41227889772087845,-0.07991818259113695,0.38962890617286666,-0.8772887110027933,-1.0659101792764019,-0.40837204167436636,13,"Vulnerable Population, Adequate Capacity",49.2621,-122.7811
Port Moody,0.016747505350491076,-0.06119608942755045,-0.3240894928646168,-0.9295542815062644,0.02775987648795074,-0.2388543966084459,-1.053719932120638,-2.35068557476887,-0.9038750067525009,16,"Vulnerable Population, Adequate Capacity",49.2838,-122.836
Surrey,0.7515494690935554,0.2974100888158143,0.7849525061139221,0.7391982962020884,1.2457330211278532,1.1608210258837988,2.5521348876490797,1.7940549642354846,1.688185974724054,1,High-Pressure System (High Demand + Strained Capacity),49.18952,-122.84784
White Rock,-0.4995117803250167,0.12010650951923488,0.4290485925517461,-0.25714838683618524,-0.8279672127820703,0.4687875994744231,1.3949759673601545,-0.6806069738226471,0.08879734505746503,4,"Baseline, Moderate Need",49.0253,-122.8028
