Municipality,ED_visit_rate,acute_hospital_rate,ACSC_avg,procedure_demand_rate,incompletion_percent,Acute bed shortage,Resource Use Intensity,Facilities,Wait before initial assesment (ED),90th percentile ED wait time,Days in alternate levels of care,Procedure and surgical wait,Patients admitted through ED,Seniors (65+),Over 85,Under 5,Frailty,Low income (By LICO),Visible Minority,Population,Unemployed,Population growth,High hospital bed users,Deaths following major surgery,All patient readmissions,Specialized readmission,In Hospital Sepsis,LTC fall rate,Pressure Ulcers,Depressive Moods,Antipsychotic use (Potentially Innapropriate)
Abbotsford,1.4469159744910738,2.2334861795784198,1.3020461478499925,1.6713808629452707,1.3275360099917475,-1.9268601261865086,0.49295898468038957,-2.272259909522436,2.3409389844803616,2.297764007749418,-0.14250805820590334,0.8297505207012348,-0.39436696636235463,-0.07048758264116706,-0.4863123823336665,-0.4753019510295932,0.31930950285430676,-1.279630726360313,-1.4224254979971154,-0.013071110325829369,1.271098536448569,0.3155592966819112,-1.4326747077343855,-0.3657646562802158,-0.5374561186631858,-0.6321976358975678,0.1060421867658709,1.116439480143114,1.1390554120519887,1.4368045863299936,0.6095177695999856
Burnaby,-0.034911721014983826,-0.9544494620474505,-0.9642911711999375,0.49205277182792906,1.14858537540921,-0.2428018993030496,-0.906365415737534,-0.722088267447359,-0.5066135772028788,-0.6202396743061122,-0.3753933970285858,0.9737917453995221,-2.5635580977296972,-0.3449754704589924,-0.5962867991374009,-0.5916421573124081,0.1359112242918346,0.9823793961576347,0.5248521891005398,0.9973743585713957,-0.9886321950155593,-0.16244768527411968,0.5899248796553352,-0.3657646562802158,-1.1947272956270742,,0.7116542222332788,0.11175729212397138,0.31947471320274684,-0.40341496430343277,-0.2719075953936924
Chilliwack,1.7627394111550783,0.585322901507799,1.3020461478499925,1.63135421502985,-0.8581685332682769,-0.6701867004461091,-0.26823200854334617,-0.19822908870558711,-0.9596333029252129,-0.8620712325793108,1.0917698240570926,-0.4419979414177829,0.1987388305507045,0.219311349819924,-0.4918886941037023,-0.48087098411943474,-0.9503708871935894,-1.279630726360313,-1.4224254979971154,0.011943592263121632,1.271098536448569,1.0923206423604614,-1.4326747077343855,-0.6908887951959624,1.5439026083891434,,-0.9033112056798105,0.44906936246974866,0.4380982354046111,0.626121601712587,-0.6115393874096042
Coquitlam,,,-0.9642911711999375,,,,,0.23238229389564863,0.13246782158398515,0.33106157600954533,-0.43518451495130933,,,-0.5603956830622788,-0.545802527652076,-0.5456253864005531,-0.6782965178976116,0.9823793961576347,0.5248521891005398,0.26571614838816643,-0.9886321950155593,-0.2520739943908754,0.5899248796553352,0.44704569100915065,-0.23620682922140065,0.2091239970684673,0.3944288703217794,0.5107285581243525,0.47045010509602786,0.42576268916456,-0.5953664449326563
Delta,-1.0599359869910272,-0.8268583070807878,0.0599518647873988,-1.1550069429191485,-1.0372971181556117,1.1475104033493884,-0.7227191560465502,0.6843219019357039,-1.0081711306811767,0.6049430998370242,-0.5980982465427397,-1.3002753491701908,1.3434744945227632,0.09054497459218556,-0.5109605145742206,-0.49296467767728813,0.4140316906832782,-0.11962553532546777,0.8595405415704491,-0.01023183965944669,0.14123317071650487,-0.4313266126243872,0.7584748452711587,,-0.3731383244222136,,1.0913633555818927,0.3511400517241992,1.3331666302004936,-0.09517048346031272,1.2025256604214187
Hope,-1.0944089633689829,-0.871455080022467,1.3020461478499925,,,1.2924830318900207,-0.898613756775043,,-1.3236670110949451,-1.1184709570135452,0.13899391494179744,,1.1277996592816506,1.7647385115161394,2.375836239951568,2.38311074949428,1.3612535689729812,-1.279630726360313,-1.4224254979971154,-0.7676254903700164,1.271098536448569,0.19605755119290333,-1.4326747077343855,,2.25594638343336,,-0.9321498740354014,-1.2012208741681951,-1.3736064673147654,0.4473398028235774,-0.0967007185600863
Kent,,,1.3020461478499925,,,,,,0.13246782158398515,0.33106157600954533,0.3771878922206214,,,0.9457798388861975,2.5625120890351782,2.569542933255453,-0.6782965178976116,-1.279630726360313,-1.4224254979971154,-0.7704356403116156,1.271098536448569,-1.1184616491861816,-1.4326747077343855,0.44704569100915065,-0.23620682922140065,0.2091239970684673,0.3944288703217794,0.024709015905705543,-1.5677176854632702,1.1902090016554963,-0.991603535617887
Langley,-0.6830407017604192,-0.2444548714747461,0.0599518647873988,-0.795499127548456,0.010488905118376815,0.39260869389169717,-0.059658166980422714,0.2701852096456444,1.321644601605112,0.5597817847378109,-0.5186482388907223,-0.12962717638879534,-0.12892101529636985,-0.40265507765612446,-0.5373611011691943,-0.5204782187182831,-1.0410623436255835,-0.11962553532546777,0.8595405415704491,0.14907308526820925,0.14123317071650487,1.3014486969662251,0.7584748452711587,-1.503699142485329,-0.34575202538204713,-0.2734763211708574,-0.9898272107465832,1.0003751118520943,1.1498393686157948,-0.2986118408167731,1.1486158521649248
Maple Ridge,-0.3128003736265156,-0.3812285751216044,-0.9642911711999375,0.10430095877011447,-0.8722516983474811,0.5759461947145446,-0.24592868621599978,0.5050881685650792,-1.0081711306811767,0.6005726499887122,-0.49497563287403284,-1.1670424970907423,0.06601585501771239,-0.6022631888495305,-0.4665341488733134,-0.4733716978853728,0.5228614384016694,0.9823793961576347,0.5248521891005398,-0.15387709483482276,-0.9886321950155593,0.9130680241269499,0.5899248796553352,0.7721698299248972,0.11981505830070768,1.064413172831022,0.4953642095663473,0.7210952256518258,0.3733944960217757,0.5367307022680831,-0.5414566366761621
Mission,-0.44458590843175183,-0.6735740904703948,1.3020461478499925,,,0.6712062820857783,-0.7819812809272029,0.46842367512840033,0.6178460991436279,-1.867274697690801,3.3004776133698215,0.6560297672547297,0.7337783256680799,-0.6678095564218236,-0.18030810735301195,-0.16969709906319744,2.6672105415936764,-1.279630726360313,-1.4224254979971154,-0.5140349387748678,1.271098536448569,0.04668036933164391,-1.4326747077343855,,1.6808341035899539,0.9250744994463794,-2.4894379652373093,0.09362223457849923,0.3302586697665529,0.37336112742122907,1.2968678248702836
New Westminster,0.26074625155690173,0.888650359956933,-0.9642911711999375,-0.9246436948347235,-1.128212057290474,-0.9055979754125305,1.6791877424739368,,-1.0567089584371416,0.34562974217058057,-0.7042445456035649,-1.4657404293469618,-0.5478279068223768,-0.6014002860362185,-0.4352595568187043,-0.444864685788407,-0.7347267574552955,0.9823793961576347,0.5248521891005398,-0.24177800259355223,-0.9886321950155593,1.0923206423604614,0.5899248796553352,2.0726663855878837,-0.9482506042656198,-0.7680822219288279,0.033945515876893304,0.24232970645136823,-0.32756268062560195,0.5244009230343574,-0.47946035718119334
Pitt Meadows,,,-0.9642911711999375,,,,,,0.13246782158398515,0.33106157600954533,-0.43518451495130933,,,-0.26321088082340205,0.30050582172602186,0.22579066632871464,-0.6782965178976116,0.9823793961576347,0.5248521891005398,-0.6769144326696876,-0.9886321950155593,-1.3275897037919453,0.5899248796553352,0.44704569100915065,-0.23620682922140065,0.2091239970684673,0.3944288703217794,-0.9146869649497389,-1.0500877704005913,-0.9705848090547742,-1.218024730295162
Port Coquitlam,,,-0.9642911711999375,,,,,0.8800587462355465,0.13246782158398515,0.33106157600954533,-0.43518451495130933,,,-0.6577314055625748,-0.36850645651114877,-0.38401876221393727,-0.6782965178976116,0.9823793961576347,0.5248521891005398,-0.36858419866292025,-0.9886321950155593,-0.7898318490914102,0.5899248796553352,0.44704569100915065,-0.23620682922140065,0.2091239970684673,0.3944288703217794,-0.3234840889673546,-0.8344086391244754,-1.1339543839016275,-1.9404161609321822
Port Moody,-0.5097097589378111,-0.5220183910277109,-0.9642911711999375,-0.30538859114487416,1.1949544389465092,0.296532162629175,-0.2886666273708062,,-0.4014482837316225,-0.6726850724858415,0.1926222232372867,0.17802296605976484,0.3812329219085691,-0.8573214058538147,-0.11631888997141117,-0.1541480097034119,0.8271816588734684,0.9823793961576347,0.5248521891005398,-0.5721599054425585,-0.9886321950155593,-2.2537282313317553,0.5899248796553352,,-0.8934780061852916,,0.2934935310772109,-2.898662260424365,-1.610853511718493,-2.7429905739027145,0.27258146799689703
Surrey,1.3744855226441126,1.1895198233035515,0.0599518647873988,-0.11542139117957613,0.6645303124513005,-1.250412673751513,2.2155633229752434,-1.0239919537607909,0.8362663240454681,0.6063999164531265,-0.7607815955444898,1.432589978374977,-0.3611862224791064,-0.715321423131795,-0.6397772857471908,-0.627211903877586,-0.19259338456182865,-0.11962553532546777,0.8595405415704491,3.3211863557440946,0.14123317071650487,0.6441890967766823,0.7584748452711587,-0.20320258682234252,0.4210643477424928,1.0080443437735882,1.7210076146789608,0.8698026975246961,0.9665121070310957,-0.07359336980129533,1.3130407673472324
White Rock,-0.7054937457156767,-0.42294048710154064,0.0599518647873988,-0.6031290609463865,-0.4501656348552961,0.6195726065391077,-0.2155449515326638,1.1761092240301494,0.6178460991436279,-1.1985958708992448,-0.2008482082826526,0.4344984156242441,0.1448201217404265,2.7231972856832813,0.13646231353227226,0.18175118471102675,-0.6158201812444619,-0.11962553532546777,0.8595405415704491,-0.6565808865896702,0.14123317071650487,0.7338154058934383,0.7584748452711587,-1.503699142485329,-0.7839328100246428,,-0.7158598613684698,-0.15301454803991915,0.2439870172561068,0.15758999083104525,0.903326224597877
